iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
742	266	295	266	340	266	340	295
743	266	295	266	340	266	340	295
744	266	295	266	340	266	340	295
745	268	297	268	340	268	340	297
746	266	295	266	340	266	340	295
747	266	296	266	340	266	340	296
748	266	296	266	340	266	340	296
749	266	296	266	340	266	340	296
750	266	296	266	340	266	340	296
751	266	296	266	340	266	340	296
752	266	295	266	340	266	340	295
753	266	295	266	340	266	340	295
754	266	295	266	340	266	340	295
755	266	295	266	340	266	340	295
756	266	295	266	340	266	340	295
757	266	295	266	340	266	340	295
758	266	295	266	340	266	340	295
759	266	295	266	340	266	340	295
760	266	295	266	340	266	340	295
761	266	295	266	340	266	340	295
762	266	295	266	340	266	340	295
763	266	295	266	340	266	340	295
764	266	295	266	340	266	340	295
765	266	295	266	340	266	340	295
766	266	295	266	340	266	340	295
767	266	295	266	340	266	340	295
768	266	295	266	340	266	340	295
769	266	294	266	340	266	340	294
770	266	293	266	340	266	340	293
771	266	294	266	340	266	340	294
772	266	295	266	340	266	340	295
773	266	295	266	340	266	340	295
774	266	295	266	340	266	340	295
775	266	295	266	340	266	340	295
776	266	295	266	340	266	340	295
777	266	294	266	340	266	340	294
778	266	293	266	340	266	340	293
779	266	292	266	340	266	340	292
780	266	292	266	340	266	340	292
781	266	292	266	340	266	340	292
782	266	292	266	340	266	340	292
783	266	292	266	340	266	340	292
784	266	292	266	340	266	340	292
785	267	293	267	340	267	340	293
786	267	293	267	340	267	340	293
787	267	293	267	340	267	340	293
788	267	293	267	340	267	340	293
789	267	293	267	340	267	340	293
790	267	293	267	340	267	340	293
791	267	293	267	340	267	340	293
792	267	293	267	340	267	340	293
793	267	293	267	340	267	340	293
794	267	293	267	340	267	340	293
795	267	293	267	340	267	340	293
796	267	293	267	340	267	340	293
797	267	293	267	340	267	340	293
798	267	293	267	340	267	340	293
799	267	294	267	340	267	340	294
800	267	294	267	340	267	340	294
801	267	294	267	340	267	340	294
802	267	293	267	340	267	340	293
803	267	293	267	340	267	340	293
804	267	293	267	340	267	340	293
805	267	293	267	340	267	340	293
806	267	294	267	340	267	340	294
807	267	294	267	340	267	340	294
808	267	294	267	340	267	340	294
809	267	294	267	340	267	340	294
810	267	294	267	340	267	340	294
811	267	294	267	340	267	340	294
812	267	294	267	340	267	340	294
813	267	293	267	340	267	340	293
814	267	293	267	340	267	340	293
815	267	293	267	340	267	340	293
816	267	293	267	340	267	340	293
817	267	294	267	340	267	340	294
818	267	294	267	340	267	340	294
819	267	294	267	340	267	340	294
820	267	294	267	340	267	340	294
821	267	294	267	340	267	340	294
822	267	293	267	340	267	340	293
823	267	293	267	340	267	340	293
824	267	293	267	340	267	340	293
825	267	293	267	340	267	340	293
826	267	293	267	340	267	340	293
827	267	293	267	340	267	340	293
828	267	293	267	340	267	340	293
829	267	293	267	340	267	340	293
830	267	293	267	340	267	340	293
831	267	293	267	340	267	340	293
832	267	293	267	340	267	340	293
833	267	293	267	340	267	340	293
834	267	293	267	340	267	340	293
835	267	293	267	340	267	340	293
836	267	293	267	340	267	340	293
837	267	293	267	340	267	340	293
838	267	293	267	340	267	340	293
839	267	293	267	340	267	340	293
840	267	293	267	340	267	340	293
841	267	293	267	340	267	340	293
842	267	294	267	340	267	340	294
843	267	293	267	340	267	340	293
844	267	293	267	340	267	340	293
845	267	293	267	340	267	340	293
846	267	293	267	340	267	340	293
847	267	293	267	340	267	340	293
848	267	293	267	340	267	340	293
849	267	293	267	340	267	340	293
850	267	293	267	340	267	340	293
